,Images,Normal,COVID-19,BacterialPneumonia,ViralPneumonia
0,BacterialPneumonia/0.jpeg,,,1.0,
1,BacterialPneumonia/1.jpeg,,,1.0,
2,BacterialPneumonia/10.jpeg,,,1.0,
3,BacterialPneumonia/100.jpeg,,,1.0,
4,BacterialPneumonia/101.jpeg,,,1.0,
5,BacterialPneumonia/102.jpeg,,,1.0,
6,BacterialPneumonia/103.jpeg,,,1.0,
7,BacterialPneumonia/104.jpeg,,,1.0,
8,BacterialPneumonia/105.jpeg,,,1.0,
9,BacterialPneumonia/106.jpeg,,,1.0,
10,BacterialPneumonia/107.jpeg,,,1.0,
11,BacterialPneumonia/108.jpeg,,,1.0,
12,BacterialPneumonia/109.jpeg,,,1.0,
13,BacterialPneumonia/11.jpeg,,,1.0,
14,BacterialPneumonia/110.jpeg,,,1.0,
15,BacterialPneumonia/111.jpeg,,,1.0,
16,BacterialPneumonia/112.jpeg,,,1.0,
17,BacterialPneumonia/113.jpeg,,,1.0,
18,BacterialPneumonia/114.jpeg,,,1.0,
19,BacterialPneumonia/115.jpeg,,,1.0,
20,BacterialPneumonia/116.jpeg,,,1.0,
21,BacterialPneumonia/117.jpeg,,,1.0,
22,BacterialPneumonia/118.jpeg,,,1.0,
23,BacterialPneumonia/119.jpeg,,,1.0,
24,BacterialPneumonia/12.jpeg,,,1.0,
25,BacterialPneumonia/120.jpeg,,,1.0,
26,BacterialPneumonia/121.jpeg,,,1.0,
27,BacterialPneumonia/122.jpeg,,,1.0,
28,BacterialPneumonia/123.jpeg,,,1.0,
29,BacterialPneumonia/124.jpeg,,,1.0,
30,BacterialPneumonia/125.jpeg,,,1.0,
31,BacterialPneumonia/126.jpeg,,,1.0,
32,BacterialPneumonia/127.jpeg,,,1.0,
33,BacterialPneumonia/128.jpeg,,,1.0,
34,BacterialPneumonia/129.jpeg,,,1.0,
35,BacterialPneumonia/13.jpeg,,,1.0,
36,BacterialPneumonia/130.jpeg,,,1.0,
37,BacterialPneumonia/131.jpeg,,,1.0,
38,BacterialPneumonia/132.jpeg,,,1.0,
39,BacterialPneumonia/133.jpeg,,,1.0,
40,BacterialPneumonia/134.jpeg,,,1.0,
41,BacterialPneumonia/135.jpeg,,,1.0,
42,BacterialPneumonia/136.jpeg,,,1.0,
43,BacterialPneumonia/137.jpeg,,,1.0,
44,BacterialPneumonia/138.jpeg,,,1.0,
45,BacterialPneumonia/139.jpeg,,,1.0,
46,BacterialPneumonia/14.jpeg,,,1.0,
47,BacterialPneumonia/140.jpeg,,,1.0,
48,BacterialPneumonia/141.jpeg,,,1.0,
49,BacterialPneumonia/142.jpeg,,,1.0,
50,BacterialPneumonia/143.jpeg,,,1.0,
51,BacterialPneumonia/144.jpeg,,,1.0,
52,BacterialPneumonia/145.jpeg,,,1.0,
53,BacterialPneumonia/146.jpeg,,,1.0,
54,BacterialPneumonia/147.jpeg,,,1.0,
55,BacterialPneumonia/148.jpeg,,,1.0,
56,BacterialPneumonia/149.jpeg,,,1.0,
57,BacterialPneumonia/15.jpeg,,,1.0,
58,BacterialPneumonia/150.jpeg,,,1.0,
59,BacterialPneumonia/151.jpeg,,,1.0,
60,BacterialPneumonia/152.jpeg,,,1.0,
61,BacterialPneumonia/153.jpeg,,,1.0,
62,BacterialPneumonia/154.jpeg,,,1.0,
63,BacterialPneumonia/155.jpeg,,,1.0,
64,BacterialPneumonia/156.jpeg,,,1.0,
65,BacterialPneumonia/157.jpeg,,,1.0,
66,BacterialPneumonia/158.jpeg,,,1.0,
67,BacterialPneumonia/159.jpeg,,,1.0,
68,BacterialPneumonia/16.jpeg,,,1.0,
69,BacterialPneumonia/160.jpeg,,,1.0,
70,BacterialPneumonia/161.jpeg,,,1.0,
71,BacterialPneumonia/162.jpeg,,,1.0,
72,BacterialPneumonia/163.jpeg,,,1.0,
73,BacterialPneumonia/164.jpeg,,,1.0,
74,BacterialPneumonia/165.jpeg,,,1.0,
75,BacterialPneumonia/166.jpeg,,,1.0,
76,BacterialPneumonia/167.jpeg,,,1.0,
77,BacterialPneumonia/168.jpeg,,,1.0,
78,BacterialPneumonia/169.jpeg,,,1.0,
79,BacterialPneumonia/17.jpeg,,,1.0,
80,BacterialPneumonia/170.jpeg,,,1.0,
81,BacterialPneumonia/171.jpeg,,,1.0,
82,BacterialPneumonia/172.jpeg,,,1.0,
83,BacterialPneumonia/173.jpeg,,,1.0,
84,BacterialPneumonia/174.jpeg,,,1.0,
85,BacterialPneumonia/175.jpeg,,,1.0,
86,BacterialPneumonia/176.jpeg,,,1.0,
87,BacterialPneumonia/177.jpeg,,,1.0,
88,BacterialPneumonia/178.jpeg,,,1.0,
89,BacterialPneumonia/179.jpeg,,,1.0,
90,BacterialPneumonia/18.jpeg,,,1.0,
91,BacterialPneumonia/180.jpeg,,,1.0,
92,BacterialPneumonia/181.jpeg,,,1.0,
93,BacterialPneumonia/182.jpeg,,,1.0,
94,BacterialPneumonia/183.jpeg,,,1.0,
95,BacterialPneumonia/184.jpeg,,,1.0,
96,BacterialPneumonia/185.jpeg,,,1.0,
97,BacterialPneumonia/186.jpeg,,,1.0,
98,BacterialPneumonia/187.jpeg,,,1.0,
99,BacterialPneumonia/188.jpeg,,,1.0,
100,BacterialPneumonia/189.jpeg,,,1.0,
101,BacterialPneumonia/19.jpeg,,,1.0,
102,BacterialPneumonia/190.jpeg,,,1.0,
103,BacterialPneumonia/191.jpeg,,,1.0,
104,BacterialPneumonia/192.jpeg,,,1.0,
105,BacterialPneumonia/193.jpeg,,,1.0,
106,BacterialPneumonia/194.jpeg,,,1.0,
107,BacterialPneumonia/195.jpeg,,,1.0,
108,BacterialPneumonia/196.jpeg,,,1.0,
109,BacterialPneumonia/197.jpeg,,,1.0,
110,BacterialPneumonia/198.jpeg,,,1.0,
111,BacterialPneumonia/199.jpeg,,,1.0,
112,BacterialPneumonia/2.jpeg,,,1.0,
113,BacterialPneumonia/20.jpeg,,,1.0,
114,BacterialPneumonia/200.jpeg,,,1.0,
115,BacterialPneumonia/201.jpeg,,,1.0,
116,BacterialPneumonia/202.jpeg,,,1.0,
117,BacterialPneumonia/203.jpeg,,,1.0,
118,BacterialPneumonia/204.jpeg,,,1.0,
